date,indicator,value,entity
2021-09-22,Daily hospital occupancy,2390,Canada
2021-09-23,Daily hospital occupancy,2417,Canada
2021-09-24,Daily hospital occupancy,2450,Canada
2021-09-25,Daily hospital occupancy,2075,Canada
2021-09-26,Daily hospital occupancy,2066,Canada
2021-09-27,Daily hospital occupancy,2499,Canada
2021-09-28,Daily hospital occupancy,2481,Canada
2021-09-29,Daily hospital occupancy,2525,Canada
2021-09-30,Daily hospital occupancy,2142,Canada
2021-10-01,Daily hospital occupancy,2481,Canada
2021-10-02,Daily hospital occupancy,2146,Canada
2021-10-03,Daily hospital occupancy,2135,Canada
2021-10-04,Daily hospital occupancy,2513,Canada
2021-10-05,Daily hospital occupancy,2551,Canada
2021-10-06,Daily hospital occupancy,2586,Canada
2021-10-07,Daily hospital occupancy,2602,Canada
2021-10-08,Daily hospital occupancy,2563,Canada
2021-10-09,Daily hospital occupancy,2508,Canada
2021-10-10,Daily hospital occupancy,2504,Canada
2021-10-11,Daily hospital occupancy,2502,Canada
2021-10-12,Daily hospital occupancy,2483,Canada
2021-10-13,Daily hospital occupancy,2498,Canada
2021-10-14,Daily hospital occupancy,2494,Canada
2021-10-15,Daily hospital occupancy,2471,Canada
2021-10-16,Daily hospital occupancy,2435,Canada
2021-10-17,Daily hospital occupancy,2422,Canada
